Date,Order,Slug,Origin,Producer,Guest number,Guest info
141018,7,DOC WATCHERS OF THE SKY,S,"B,F",1,"['W,F']"
141018,8,MUSIC PRIMUS,S,"W,M",1,"['W,M']"
141012,0,EBOLA US SECOND CASE,D,"W,M",4,"['W,M', 'W,M', 'W,M', 'O,F']"
141012,1,EBOLA FOLO,S,"W,M",1,"['W,F']"
141012,2,DEATH OF WOLVERINE,S,"W,F",1,"['W,M']"
141012,3,BROWARD STUDENT LOANS,D,"W,M",4,"['W,M', 'O,M', 'W,M', 'W,F']"
141012,4,STOLEN STRADIVARIUS,S,"W,M",3,"['W,M', 'A,F', 'W,M']"
141012,5,COOKING COMPETITIONS,S,"W,F",1,"['A,M']"
141012,6,EBOLA MUSIC,D,"W,M",1,"['B,M']"
141012,7,ISIS ADVANCES,S,"W,M",1,"['W,M']"
141012,8,BOOK AS YOU WISH,S,"B,F",1,"['W,M']"
141012,9,MUSIC FLYING LOTUS,S,"W,M",1,"['B,M']"
141011,0,FERGUSON WEEKEND MARCHES,S,"W,F",1,"['W,F']"
141011,1,STOCKS SOAR FROM EBOLA,S,"W,M",1,"['W,M']"
141011,2,TECH ROUNDUP,S,"W,F",1,"['W,M']"
141011,3,JASON CARTER FOR GOVERNOR,D,"W,F",8,"['W,M', 'W,M', 'W,M', 'B,F', 'B,F', 'O,M', 'W,M', 'W,M']"
141011,4,ITALIAN EARTHQUAKE TRIAL,S,"W,M",1,"['W,M']"
141011,5,MUSIC MARY LAMBERT,S,"B,F",1,"['W,F']"
141011,6,CAPTAIN AMERICA FOR SALE,S,"W,M",5,"['W,F', 'W,M', 'B,M', 'O,M', 'W,M']"
141011,7,COMEDY CAMERON ESPOSITO,S,"W,M",1,"['W,F']"
141011,8,BOOK EVEN THIS I GET TO EXPERIENCE,S,"W,F",1,"['W,M']"
141005,0,EBOLA VACCINE ETHICS,D,"B,F",5,"['W,M', 'W,M', 'W,M', 'M,M', 'W,F']"
141005,1,PAKISTAN DRONE STRIKES,S,"A,F",1,"['W,F']"
141005,2,DOLPHINS ARENT SO GREAT,S,"B,F",1,"['W,F']"
141005,3,ALASKA NATIONAL GUARD SCANDAL,D,"L,F",2,"['W,M', 'W,F']"
141005,4,HISTORY OF SEXUAL CONSENT POLICIES,S,"W,F",1,"['W,F']"
141005,5,ALGORITHM FOR ENTREPRENEURS,S,"B,F",2,"['W,M', 'B,F']"
141005,6,VOICE HACKING,S,"W,M",1,"['W,M']"
141005,7,RIGHT TO SILENCE,D,"W,F",4,"['A,F', 'W,M', 'W,M', 'W,M']"
141005,8,BOOK A BRIEF HISTORY OF SEVEN KILLINGS,S,"W,F",1,"['B,M']"
141005,9,MUSIC MOVIE GUSTAVO DUDAMEL,S,"W,M",1,"['L,M']"
141004,0,EBOLA DALLAS LATEST,D,"B,M",6,"['B,M', 'W,M', 'W,M', 'W,F', 'W,M', 'W,F']"
141004,1,BABY DOC OBIT,S,"W,M",1,"['B,F']"
141004,2,SECRET SERVICE FOLO,S,"W,M",1,"['W,M']"
141004,3,HONG KONG UPDATE,S,"W,F",1,"['A,F']"
141004,4,HP LOVECRAFT AWARD,S,"B,F",1,"['W,F']"
141004,5,MUSIC BELA FLECK AND ABIGAIL WASHINGTON,S,"W,M",2,"['W,M', 'W,F']"
141004,6,NEW MEMORIAL DISABLED VETS,D,"W,M",3,"['W,M', 'W,M', 'W,M']"
141004,7,BOOK THE INVISIBLE FRONT,S,"W,F",1,"['W,M']"
141004,8,MOVIE GONE GIRL,S,"W,M",1,"['W,M']"
140928,0,HONG KONG PROTESTS,S,"W,M",1,"['W,F']"
140928,1,TREASURY TARGETS ISIS,S,"W,M",1,"['L,M']"
140928,2,JOURNO PLACED ON WATCHLIST,S,"W,M",1,"['W,M']"
140928,3,GUN INJURY DATABASE,D,"W,M",3,"['W,M', 'W,M', 'B,M']"
140928,4,UCLA EBOLA DOCTOR,S,"W,M",1,"['W,F']"
140928,5,MUSIC JOHN LUTHER ADAMS,S,"W,M",1,"['W,M']"
140928,6,BLOOD TEST DEPRESSION,S,"A,F",1,"['W,M']"
140928,7,BOOK PRINCE OF LOS COCUYOS,S,"W,F",1,"['L,M']"
140928,8,MOVIE THEATER INNOVATIONS,D,"B,M",6,"['O,M', 'O,F', 'W,M', 'W,M', 'W,M', 'W,M']"
140928,9,SPANGLISH HIT SONG,S,"W,F",1,"['W,M']"
140921,0,TURKEY ISIS REFUGEES,S,"W,F",1,"['W,F']"
140921,1,LIBYA UPDATE,S,"W,M",1,"['W,F']"
140921,2,PERFECTLY NORMAL,S,"W,F",3,"['W,F', 'W,F', 'W,M']"
140921,3,MARS MISSION,D,"W,M",2,"['W,M', 'W,M']"
140921,4,ISRAEL UNIT 8200,S,"W,M",1,"['W,M']"
140921,5,UGANDA LGBT ACTIVIST UPDATE,S,"W,M",1,"['B,M']"
140921,6,MUSIC CHAD LAWSON,S,"B,F",1,"['W,M']"
140921,7,BOOK MY LIFE AS A FOREIGN COUNTRY,S,"W,M",1,"['W,M']"
140921,8,MBB GEORGIA DURANTE,S,"W,M",1,"['W,F']"
140921,9,TV TRANSPARENT,S,"W,F",1,"['W,F']"
140920,0,TURKEY ISIS REFUGEES,S,"W,F",1,"['W,F']"
140920,1,GERMANY ISIS STRATEGY,S,"W,M",1,"['W,M']"
140920,2,MAMMOTH MOVE,D,"W,F",3,"['W,M', 'W,M', 'W,M']"
140920,3,LIBERIA DEPUTY CHIEF OF STAFF,S,"W,F",1,"['B,M']"
